"001","002","003","004","005","006","007","008","009","010","011"
"61","21-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","175","NA"
"61","24-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","102","NA"
"61","26-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","6","19","117","NA"
"61","28-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","23","148","NA"
"61","31-08-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","24","130","NA"
"61","02-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","23","99","NA"
"61","04-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","19","158","NA"
"61","07-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","16","68","NA"
"61","09-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","18","61","NA"
"61","11-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","15","76","NA"
"61","16-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","12","19","184","NA"
"61","18-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","17","107","NA"
"61","21-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","15","118","NA"
"61","28-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","15","104","NA"
"61","30-09-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","9","19","108","NA"
"61","05-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","7","24","151","NA"
"61","07-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","26","133","NA"
"61","09-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","8","22","139","NA"
"61","12-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","34","115","NA"
"61","14-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","10","36","193","NA"
"61","19-10-15","Punjab","Ludhiana","The Ludhiana Dist. Coop. Milk Producers Union Ltd., Ferozpur Road, Ludhiana.","Punjab State Pollution Control Board","Industrial Area","11","35","124","NA"
