,Time,AQI
,Sun Nov 27 2016 11:50:00 GMT+0000 (UTC),331
,Wed Dec 07 2016 21:50:00 GMT+0000 (UTC),500
,Sun Oct 02 2016 10:00:00 GMT+0000 (UTC),153
,Thu Nov 10 2016 19:00:00 GMT+0000 (UTC),500
,Tue Dec 27 2016 04:50:00 GMT+0000 (UTC),377
,Wed Oct 05 2016 08:30:00 GMT+0000 (UTC),213
,Sun Oct 23 2016 12:55:00 GMT+0000 (UTC),335
,Thu Oct 13 2016 20:00:00 GMT+0000 (UTC),197
,Wed Oct 05 2016 02:00:00 GMT+0000 (UTC),97
,Sat Nov 19 2016 19:40:00 GMT+0000 (UTC),500
,Sun Nov 13 2016 12:30:00 GMT+0000 (UTC),310
,Thu Nov 03 2016 00:00:00 GMT+0000 (UTC),500
,Wed Dec 28 2016 21:45:00 GMT+0000 (UTC),1001
,Wed Nov 23 2016 06:40:00 GMT+0000 (UTC),328
,Wed Nov 09 2016 05:00:00 GMT+0000 (UTC),500
,Tue Oct 18 2016 11:30:00 GMT+0000 (UTC),315
,Tue Dec 27 2016 03:20:00 GMT+0000 (UTC),370
,Sun Nov 20 2016 05:10:00 GMT+0000 (UTC),336
,Tue Dec 13 2016 12:20:00 GMT+0000 (UTC),500
,Sat Dec 24 2016 23:50:00 GMT+0000 (UTC),419
,Mon Nov 28 2016 00:20:00 GMT+0000 (UTC),183
,Fri Dec 09 2016 05:20:00 GMT+0000 (UTC),391
,Tue Dec 06 2016 11:20:00 GMT+0000 (UTC),500
,Mon Oct 03 2016 23:30:00 GMT+0000 (UTC),443
,Fri Dec 16 2016 17:20:00 GMT+0000 (UTC),167
,Mon Oct 03 2016 06:00:00 GMT+0000 (UTC),237
,Sat Nov 12 2016 14:10:00 GMT+0000 (UTC),325
,Thu Dec 08 2016 22:20:00 GMT+0000 (UTC),444
,Sat Nov 19 2016 01:10:00 GMT+0000 (UTC),349
,Wed Nov 23 2016 07:10:00 GMT+0000 (UTC),328
,Sat Dec 17 2016 18:20:00 GMT+0000 (UTC),304
,Sat Oct 01 2016 04:00:00 GMT+0000 (UTC),257
,Mon Dec 19 2016 05:50:00 GMT+0000 (UTC),83
,Thu Oct 13 2016 23:00:00 GMT+0000 (UTC),207
,Mon Dec 19 2016 23:20:00 GMT+0000 (UTC),394
,Fri Oct 14 2016 02:00:00 GMT+0000 (UTC),293
,Sun Oct 30 2016 19:30:00 GMT+0000 (UTC),399
,Sun Oct 23 2016 17:00:00 GMT+0000 (UTC),170
,Tue Oct 04 2016 19:30:00 GMT+0000 (UTC),173
,Wed Dec 28 2016 08:50:00 GMT+0000 (UTC),473
,Thu Oct 20 2016 05:30:00 GMT+0000 (UTC),154
,Thu Nov 24 2016 20:20:00 GMT+0000 (UTC),355
,Tue Nov 01 2016 02:00:00 GMT+0000 (UTC),500
,Tue Sep 27 2016 10:30:00 GMT+0000 (UTC),121
,Tue Sep 27 2016 15:00:00 GMT+0000 (UTC),205
,Sat Dec 24 2016 06:50:00 GMT+0000 (UTC),863
,Tue Dec 13 2016 07:50:00 GMT+0000 (UTC),385
,Mon Nov 28 2016 10:50:00 GMT+0000 (UTC),345
,Tue Dec 13 2016 16:20:00 GMT+0000 (UTC),163
,Tue Oct 11 2016 04:00:00 GMT+0000 (UTC),290
,Thu Oct 13 2016 19:00:00 GMT+0000 (UTC),167
,Fri Dec 30 2016 00:20:00 GMT+0000 (UTC),408
,Thu Dec 29 2016 23:20:00 GMT+0000 (UTC),436
,Sat Oct 01 2016 01:00:00 GMT+0000 (UTC),341
,Tue Oct 25 2016 07:00:00 GMT+0000 (UTC),93
,Wed Oct 26 2016 21:30:00 GMT+0000 (UTC),414
,Thu Dec 29 2016 20:20:00 GMT+0000 (UTC),434
,Mon Dec 19 2016 08:20:00 GMT+0000 (UTC),380
,Sat Oct 22 2016 17:50:00 GMT+0000 (UTC),175
,Mon Dec 26 2016 20:50:00 GMT+0000 (UTC),409
,Mon Dec 19 2016 03:00:00 GMT+0000 (UTC),531
,Mon Dec 12 2016 03:20:00 GMT+0000 (UTC),386
,Mon Dec 12 2016 02:20:00 GMT+0000 (UTC),404
,Sat Oct 15 2016 20:00:00 GMT+0000 (UTC),320
,Mon Nov 07 2016 12:30:00 GMT+0000 (UTC),500
,Thu Oct 27 2016 10:30:00 GMT+0000 (UTC),486
,Wed Nov 02 2016 04:00:00 GMT+0000 (UTC),500
,Sun Nov 27 2016 01:50:00 GMT+0000 (UTC),330
,Wed Dec 28 2016 01:50:00 GMT+0000 (UTC),565
,Sat Dec 24 2016 07:20:00 GMT+0000 (UTC),736
,Tue Dec 13 2016 16:50:00 GMT+0000 (UTC),163
,Sat Nov 26 2016 16:20:00 GMT+0000 (UTC),163
,Tue Oct 04 2016 06:30:00 GMT+0000 (UTC),355
,Fri Nov 25 2016 14:20:00 GMT+0000 (UTC),439
,Sat Dec 17 2016 22:20:00 GMT+0000 (UTC),600
,Sat Nov 26 2016 07:20:00 GMT+0000 (UTC),260
,Fri Nov 11 2016 16:00:00 GMT+0000 (UTC),363
,Sat Oct 01 2016 20:30:00 GMT+0000 (UTC),223
,Fri Dec 30 2016 19:50:00 GMT+0000 (UTC),352
,Tue Oct 25 2016 15:00:00 GMT+0000 (UTC),115
,Mon Dec 12 2016 02:50:00 GMT+0000 (UTC),404
,Sun Dec 18 2016 04:20:00 GMT+0000 (UTC),309
,Thu Oct 20 2016 04:30:00 GMT+0000 (UTC),302
,Mon Nov 28 2016 18:20:00 GMT+0000 (UTC),304
,Sun Nov 13 2016 14:30:00 GMT+0000 (UTC),319
,Fri Sep 30 2016 23:00:00 GMT+0000 (UTC),400
,Thu Nov 24 2016 22:20:00 GMT+0000 (UTC),342
,Sat Nov 26 2016 15:20:00 GMT+0000 (UTC),219
,Sat Nov 05 2016 15:00:00 GMT+0000 (UTC),500
,Mon Dec 12 2016 07:50:00 GMT+0000 (UTC),413
,Tue Dec 13 2016 03:20:00 GMT+0000 (UTC),401
,Wed Mar 02 2016 17:00:00 GMT+0000 (UTC),326
,Wed Mar 02 2016 21:20:00 GMT+0000 (UTC),326
,Thu Mar 03 2016 01:25:00 GMT+0000 (UTC),326
,Thu Mar 03 2016 09:25:00 GMT+0000 (UTC),313
,Thu Mar 03 2016 10:20:00 GMT+0000 (UTC),304
,Thu Mar 03 2016 10:25:00 GMT+0000 (UTC),304
,Thu Mar 03 2016 16:00:00 GMT+0000 (UTC),423
,Fri Mar 04 2016 10:25:00 GMT+0000 (UTC),301
,Fri Mar 04 2016 17:00:00 GMT+0000 (UTC),316
,Fri Mar 04 2016 23:05:00 GMT+0000 (UTC),143
,Fri Mar 04 2016 23:50:00 GMT+0000 (UTC),163
,Sat Mar 05 2016 07:25:00 GMT+0000 (UTC),374
,Sat Mar 05 2016 17:00:00 GMT+0000 (UTC),91
,Sat Mar 05 2016 19:25:00 GMT+0000 (UTC),81
,Sat Mar 05 2016 22:25:00 GMT+0000 (UTC),71
,Sun Mar 06 2016 00:00:00 GMT+0000 (UTC),71
,Sun Mar 06 2016 02:20:00 GMT+0000 (UTC),92
,Sun Mar 06 2016 04:40:00 GMT+0000 (UTC),95
,Sun Mar 06 2016 11:45:00 GMT+0000 (UTC),128
,Sun Mar 06 2016 19:20:00 GMT+0000 (UTC),127
,Sun Mar 06 2016 21:35:00 GMT+0000 (UTC),88
,Sun Mar 06 2016 22:20:00 GMT+0000 (UTC),88
,Mon Mar 07 2016 00:05:00 GMT+0000 (UTC),117
,Mon Mar 07 2016 01:55:00 GMT+0000 (UTC),140
,Mon Mar 07 2016 08:20:00 GMT+0000 (UTC),297
,Mon Mar 07 2016 08:25:00 GMT+0000 (UTC),297
,Mon Mar 07 2016 10:40:00 GMT+0000 (UTC),209
,Mon Mar 07 2016 13:35:00 GMT+0000 (UTC),153
,Tue Mar 08 2016 06:15:00 GMT+0000 (UTC),192
,Tue Mar 08 2016 08:40:00 GMT+0000 (UTC),300
,Tue Mar 08 2016 09:40:00 GMT+0000 (UTC),300
,Tue Mar 08 2016 10:40:00 GMT+0000 (UTC),246
,Tue Mar 08 2016 16:20:00 GMT+0000 (UTC),163
,Tue Mar 08 2016 16:35:00 GMT+0000 (UTC),240
,Tue Mar 08 2016 17:45:00 GMT+0000 (UTC),253
,Wed Mar 09 2016 14:25:00 GMT+0000 (UTC),148
,Wed Mar 09 2016 20:05:00 GMT+0000 (UTC),342
,Wed Mar 09 2016 21:20:00 GMT+0000 (UTC),325
,Wed Mar 09 2016 22:00:00 GMT+0000 (UTC),352
,Wed Mar 09 2016 22:40:00 GMT+0000 (UTC),365
,Wed Mar 09 2016 23:40:00 GMT+0000 (UTC),354
